EmployerName,EmployerId,EmployerSize,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,year
BADOO LIMITED,19060,250 to 499,34.0,46.0,60.0,83.0,89.0,86.0,34.0,66.0,69.0,31.0,85.0,15.0,91.0,9.0,201920
BADOO LIMITED,19060,250 to 499,31.0,45.0,65.0,84.0,91.0,89.0,33.0,67.0,67.0,33.0,79.0,21.0,91.0,9.0,202021
BADOO LIMITED,19060,500 to 999,27.4,27.2,51.8,61.4,100.0,100.0,32.2,67.8,55.5,44.5,84.7,15.3,79.8,20.2,202122
