EmployerName,EmployerId,EmployerSize,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,year
SECRET ESCAPES LIMITED,10983,500 to 999,33.6,32.0,63.5,66.8,34.3,30.4,29.0,71.0,25.0,75.0,34.0,66.0,65.0,35.0,201718
SECRET ESCAPES LIMITED,10983,1000 to 4999,30.3,28.8,62.5,58.1,41.3,39.0,24.3,75.7,27.0,73.0,37.3,62.7,58.1,41.9,201819
SECRET ESCAPES LIMITED,10983,250 to 499,17.1,0.0,18.0,22.6,28.1,25.4,27.8,72.2,27.8,72.2,29.4,70.6,35.3,64.7,202021
SECRET ESCAPES LIMITED,10983,Less than 250,23.9,20.8,49.6,29.7,28.1,25.9,29.3,70.7,33.3,66.7,43.9,56.1,49.1,50.9,202122
