EmployerName,EmployerId,EmployerSize,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,year
SKYSCANNER LIMITED,11243,500 to 999,18.7,26.4,14.6,18.2,92.0,92.0,53.0,47.0,71.0,29.0,77.0,23.0,83.0,17.0,201718
SKYSCANNER LIMITED,11243,500 to 999,15.0,25.3,3.6,8.4,93.0,93.0,56.0,44.0,64.0,36.0,78.0,22.0,81.0,19.0,201819
SKYSCANNER LIMITED,11243,500 to 999,15.3,24.9,20.3,9.6,89.0,86.0,49.0,51.0,66.0,34.0,79.0,21.0,80.0,20.0,201920
SKYSCANNER LIMITED,11243,500 to 999,17.9,21.9,29.0,21.0,86.0,83.0,51.0,49.0,65.0,35.0,83.0,17.0,73.0,27.0,202021
SKYSCANNER LIMITED,11243,500 to 999,7.8,17.7,24.2,23.8,98.0,97.0,47.0,53.0,67.0,33.0,78.0,22.0,71.0,29.0,202122
